,id,prod,cat,video_id,aspect,negative,neutral,positive
0,6,VR,Apple,CjWfgSrwrz0,technology,0.031325437,0.26001438,0.7086602
0,6,VR,Apple,CjWfgSrwrz0,specification,0.034661077,0.13048713,0.83485174
0,7,VR,Apple,CjWfgSrwrz0,performance,0.6828941,0.1347849,0.18232095
0,7,VR,Apple,CjWfgSrwrz0,experience,0.72692686,0.1238874,0.14918576
0,7,VR,Apple,CjWfgSrwrz0,gaming,0.6732752,0.16171159,0.16501324
0,7,VR,Apple,CjWfgSrwrz0,mixed reality,0.65625185,0.15556021,0.18818794
0,7,VR,Apple,CjWfgSrwrz0,Gyroscope,0.8699716,0.057379175,0.0726492
0,7,VR,Apple,CjWfgSrwrz0,audio,0.6562146,0.14634967,0.19743569
0,7,VR,Apple,CjWfgSrwrz0,visual,0.6870269,0.10785051,0.2051226
0,7,VR,Apple,CjWfgSrwrz0,technology,0.76817805,0.10847977,0.12334212
0,7,VR,Apple,CjWfgSrwrz0,specification,0.7051393,0.13215603,0.16270472
0,8,VR,Apple,CjWfgSrwrz0,performance,0.0106099,0.16394633,0.8254437
0,8,VR,Apple,CjWfgSrwrz0,experience,0.010139504,0.16139717,0.8284633
0,8,VR,Apple,CjWfgSrwrz0,gaming,0.016783528,0.23031212,0.75290436
0,8,VR,Apple,CjWfgSrwrz0,mixed reality,0.011417027,0.24785675,0.7407263
0,8,VR,Apple,CjWfgSrwrz0,Gyroscope,0.014902124,0.24976192,0.73533595
0,8,VR,Apple,CjWfgSrwrz0,audio,0.010508218,0.21993642,0.7695554
0,8,VR,Apple,CjWfgSrwrz0,visual,0.017063767,0.17892313,0.80401313
0,8,VR,Apple,CjWfgSrwrz0,technology,0.008613319,0.15977016,0.8316165
0,8,VR,Apple,CjWfgSrwrz0,specification,0.016893292,0.18240835,0.8006984
0,9,VR,Apple,CjWfgSrwrz0,performance,0.14517209,0.48156345,0.37326452
0,9,VR,Apple,CjWfgSrwrz0,experience,0.09467685,0.5666778,0.33864537
0,9,VR,Apple,CjWfgSrwrz0,gaming,0.124039285,0.55884844,0.31711224
0,9,VR,Apple,CjWfgSrwrz0,mixed reality,0.10933821,0.5435482,0.3471136
0,9,VR,Apple,CjWfgSrwrz0,Gyroscope,0.28197053,0.6964155,0.021613963
0,9,VR,Apple,CjWfgSrwrz0,audio,0.08760134,0.49105972,0.421339
0,9,VR,Apple,CjWfgSrwrz0,visual,0.08997691,0.53240937,0.37761375
0,9,VR,Apple,CjWfgSrwrz0,technology,0.05444418,0.30264312,0.6429127
0,9,VR,Apple,CjWfgSrwrz0,specification,0.111874826,0.55681884,0.33130634
0,10,VR,Apple,86Gy035z_KA,performance,0.094677925,0.039120246,0.8662019
0,10,VR,Apple,86Gy035z_KA,experience,0.09130149,0.03607431,0.8726242
0,10,VR,Apple,86Gy035z_KA,gaming,0.08971525,0.03842592,0.87185884
0,10,VR,Apple,86Gy035z_KA,mixed reality,0.09042299,0.038322665,0.8712544
0,10,VR,Apple,86Gy035z_KA,Gyroscope,0.09253789,0.039458655,0.8680035
0,10,VR,Apple,86Gy035z_KA,audio,0.09045679,0.038705647,0.8708375
0,10,VR,Apple,86Gy035z_KA,visual,0.09301692,0.036875088,0.87010795
0,10,VR,Apple,86Gy035z_KA,technology,0.11285246,0.037458558,0.849689
0,10,VR,Apple,86Gy035z_KA,specification,0.09103184,0.036694344,0.87227374
0,11,VR,Apple,86Gy035z_KA,performance,0.07071976,0.07365013,0.8556301
0,11,VR,Apple,86Gy035z_KA,experience,0.06805341,0.06936913,0.86257744
0,11,VR,Apple,86Gy035z_KA,gaming,0.07025013,0.074168794,0.8555811
0,11,VR,Apple,86Gy035z_KA,mixed reality,0.06900854,0.07521212,0.8557794
0,11,VR,Apple,86Gy035z_KA,Gyroscope,0.07200853,0.07624546,0.851746
0,11,VR,Apple,86Gy035z_KA,audio,0.069834836,0.07294175,0.8572234
0,11,VR,Apple,86Gy035z_KA,visual,0.07008067,0.071923435,0.8579959
0,11,VR,Apple,86Gy035z_KA,technology,0.070908956,0.071983844,0.8571072
0,11,VR,Apple,86Gy035z_KA,specification,0.07065492,0.07344883,0.85589623
0,12,VR,Apple,86Gy035z_KA,performance,0.25049704,0.21902588,0.53047717
0,12,VR,Apple,86Gy035z_KA,experience,0.23675177,0.22042552,0.5428227
0,12,VR,Apple,86Gy035z_KA,gaming,0.23638879,0.247115,0.5164962
0,12,VR,Apple,86Gy035z_KA,mixed reality,0.22883788,0.22617595,0.5449862
0,12,VR,Apple,86Gy035z_KA,Gyroscope,0.24044374,0.23085427,0.528702
0,12,VR,Apple,86Gy035z_KA,audio,0.24933422,0.21596125,0.5347045
0,12,VR,Apple,86Gy035z_KA,visual,0.23977335,0.22502284,0.5352039
0,12,VR,Apple,86Gy035z_KA,technology,0.24033394,0.22995205,0.52971405
0,12,VR,Apple,86Gy035z_KA,specification,0.24022327,0.2270674,0.53270924
0,13,VR,Apple,86Gy035z_KA,performance,0.34017062,0.03133113,0.62849826
0,13,VR,Apple,86Gy035z_KA,experience,0.32461601,0.029588452,0.6457956
