prod,cat,video_id,aspect,negative,neutral,positive,channelTitle
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,f3DfJxvkN-8,features,0.013720791,0.8853412,0.10093805,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
Earphone,Apple,xnPl9RPFLkE,features,0.008096591,0.98526716,0.0066361586,Marques Brownlee
